Country Name,Exports,General Imports,Consumption Imports,year
 World,5467271,66604064,66503921,2003
 Afghanistan,127,13,13,2003
 Albania,161,9,9,2003
 Algeria,31,             ,             ,2003
 Angola,449,2,2,2003
 Anguilla,50,2,2,2003
 Antigua and Barbuda,283,1,1,2003
 Argentina,597,21855,21242,2003
 Armenia,57,7314,7314,2003
 Aruba,2929,4,4,2003
 Australia,22944,206801,206799,2003
 Austria,2421,13105,13102,2003
 Azerbaijan,127,55,55,2003
 Bahamas,9124,9,8,2003
 Bahrain,834,163686,163680,2003
 Bangladesh,257,1849323,1849448,2003
 Barbados,1967,215,215,2003
 Belarus,42,31927,31927,2003
 Belgium,40885,8517,8505,2003
 Belize,8135,15856,15856,2003
 Benin,188,3,3,2003
 Bermuda,4158,87,87,2003
 Bhutan,             ,11,11,2003
 Bolivia,262,33959,33932,2003
 Bosnia and Herzegovina,1082,542,542,2003
 Botswana,             ,7160,7141,2003
 Brazil,3272,153752,153271,2003
 British Indian Ocean Terr.,             ,35,35,2003
 British Virgin Islands,257,201,201,2003
 Brunei,13,205527,205525,2003
 Bulgaria,60,144986,144957,2003
 Burkina Faso,9,5,5,2003
 Burma,35,234337,235150,2003
 Cambodia,46,1239338,1239258,2003
 Cameroon,15,174,174,2003
 Canada,715217,1732391,1731435,2003
 Cape Verde,             ,2892,2892,2003
 Cayman Islands,1723,154,154,2003
 Central African Republic,18,             ,             ,2003
 Chad,188,             ,             ,2003
 Chile,6449,10902,10551,2003
 China,16300,11040137,11000499,2003
 Christmas Island,             ,1,1,2003
 Colombia,37566,502771,502037,2003
 Congo (Brazzaville),101,             ,             ,2003
 Congo (Kinshasa),55,             ,             ,2003
 Cook Islands,             ,49,49,2003
 Costa Rica,245575,590495,590815,2003
 Croatia,175,5315,5315,2003
 Cyprus,391,3448,3448,2003
 Czech Republic,985,7394,7303,2003
 Denmark,2201,6646,6646,2003
 Djibouti,49,             ,             ,2003
 Dominica,144,10,10,2003
 Dominican Republic,589201,2133755,2133682,2003
 Ecuador,2701,17183,17183,2003
 Egypt,250,382030,381628,2003
 El Salvador,286792,1721167,1720517,2003
 Equatorial Guinea,144,             ,             ,2003
 Eritrea,             ,47,47,2003
 Estonia,66,2150,2147,2003
 Ethiopia,37,1764,1764,2003
 Fiji,52,79559,79540,2003
 Finland,4471,1836,1836,2003
 France,26647,256326,252342,2003
 French Guiana,20,             ,             ,2003
 French Polynesia,1061,18,18,2003
 French Southern and Antarctic,             ,67,67,2003
 Gabon,296,             ,             ,2003
 Gambia,17,10,10,2003
 Gaza Strip admin. by Israel,             ,953,953,2003
 Georgia,127,1029,1029,2003
 Germany,39928,59224,58599,2003
 Ghana,3140,4439,4439,2003
 Greece,3160,24887,24807,2003
 Grenada,67,             ,             ,2003
 Guadeloupe,428,1,1,2003
 Guatemala,83463,1776831,1775697,2003
 Guinea,81,12,12,2003
 Guyana,3699,8938,8938,2003
 Haiti,154205,295041,295428,2003
 Heard and McDonald Islands,             ,66,66,2003
 Honduras,675345,2568709,2569827,2003
 Hong Kong,41995,3779913,3755321,2003
 Hungary,459,47694,47595,2003
 Iceland,323,315,315,2003
 India,1476,2167598,2170334,2003
 Indonesia,6242,2174476,2173035,2003
 Iraq,1127,             ,             ,2003
 Ireland,7207,15001,15001,2003
 Israel,8737,396187,396186,2003
 Italy,32230,1757811,1748430,2003
 Ivory Coast,73,427,427,2003
 Jamaica,51678,105374,105237,2003
 Japan,273974,226526,225341,2003
 Jordan,853,582084,582061,2003
 Kazakhstan,130,17086,17086,2003
 Kenya,232,187763,187741,2003
 Kiribati,5,             ,             ,2003
 Korea,35645,1856018,1855625,2003
 Kuwait,9540,35122,35067,2003
 Kyrgyzstan,53,9615,9615,2003
 Laos,10,3908,3902,2003
 Latvia,467,9011,9011,2003
 Lebanon,3406,3596,3577,2003
 Lesotho,             ,392472,392216,2003
 Liberia,365,6,6,2003
 Liechtenstein,             ,1,1,2003
 Lithuania,178,16051,15989,2003
 Luxembourg,198,98,98,2003
 Macau,147,1283128,1282544,2003
 Macedonia,634,45116,45113,2003
 Madagascar,3,196659,196320,2003
 Malawi,17,23173,23173,2003
 Malaysia,2285,705395,705016,2003
 Maldives,22,93698,93739,2003
 Mali,41,92,92,2003
 Malta,123,10244,10244,2003
 Marshall Islands,24,78,78,2003
 Martinique,312,24,             ,2003
